Bathroom 	E 	74.0 	2014-10-07 16:10:58 	
Bathroom 	E 	74.0 	2014-10-07 16:11:02 	
Bathroom 	E 	74.0 	2014-10-07 16:15:29 	
Bathroom 	E 	74.0 	2014-10-07 16:15:34 	
Bathroom 	E 	85.0 	2014-10-07 20:05:30 	
Bathroom 	E 	85.0 	2014-10-07 20:06:17 	
Bathroom 	E 	85.0 	2014-10-07 20:06:49 	
Bathroom 	E 	98.0 	2014-10-07 20:14:26 	
Bathroom 	E 	85.0 	2014-10-07 23:30:01 	
Bathroom 	E 	85.0 	2014-10-07 23:30:05 	
Bathroom 	NE 	33.0 	2014-10-07 23:43:40 	
Bathroom 	NE 	34.0 	2014-10-07 23:43:44 	
Bathroom 	E 	106.0 	2014-10-08 08:58:43 	
Bathroom 	E 	106.0 	2014-10-08 08:58:48 	
Bathroom 	E 	100.0 	2014-10-08 09:11:00 	
Bathroom 	E 	100.0 	2014-10-08 09:11:04 	
Bathroom 	E 	85.0 	2014-10-08 14:12:57 	
Bathroom 	E 	85.0 	2014-10-08 14:13:01 	
Bathroom 	E 	85.0 	2014-10-12 10:26:47 	
Bathroom 	E 	85.0 	2014-10-12 10:26:51 	
Bathroom 	SE 	112.0 	2014-10-12 20:05:13 	
Bathroom 	SE 	113.0 	2014-10-12 20:05:17 	
Bathroom 	SE 	112.0 	2014-10-12 23:57:22 	
Bathroom 	E 	110.0 	2014-10-12 23:57:32 	
Bathroom 	E 	77.0 	2014-10-13 23:47:28 	
Bathroom 	E 	75.0 	2014-10-13 23:47:38 	
Bathroom 	E 	80.0 	2014-10-13 23:48:00 	
Bathroom 	E 	73.0 	2014-10-13 23:48:04 	
Bathroom 	NE 	67.0 	2014-10-17 11:34:09 	
Bathroom 	NE 	70.0 	2014-10-17 11:34:13 	
Bathroom 	E 	72.0 	2014-10-17 11:34:35 	
Bathroom 	NE 	68.0 	2014-10-17 11:34:39 	
Bathroom 	NE 	70.0 	2014-10-17 11:35:01 	
Bathroom 	NE 	68.0 	2014-10-17 11:35:05 	
Bathroom 	NE 	48.0 	2014-10-19 21:08:09 	
Bathroom 	NE 	36.0 	2014-10-19 21:08:13 	
Bathroom 	E 	96.0 	2014-10-22 00:41:49 	
Bathroom 	E 	95.0 	2014-10-22 00:41:53 	
Bathroom 	E 	93.0 	2014-10-22 00:42:13 	
Bathroom 	E 	93.0 	2014-10-22 00:42:17 	
Bathroom 	E 	90.0 	2014-10-22 20:35:36 	
Bathroom 	E 	91.0 	2014-10-22 20:35:40 	
Bathroom 	E 	91.0 	2014-10-22 20:36:00 	
Bathroom 	E 	85.0 	2014-10-22 20:36:04 	
Bathroom 	E 	98.0 	2014-10-22 23:50:59 	
Bathroom 	E 	97.0 	2014-10-22 23:51:03 	
Bathroom 	E 	85.0 	2014-10-25 09:11:09 	
Bathroom 	E 	85.0 	2014-10-25 09:11:13 	
Bathroom 	E 	89.0 	2014-10-27 00:12:57 	
Bathroom 	E 	91.0 	2014-10-27 00:13:01 	
Bathroom 	E 	93.0 	2014-10-27 00:13:44 	
Bathroom 	E 	90.0 	2014-10-27 00:13:48 	
Bathroom 	E 	87.0 	2014-10-28 20:08:24 	
Bathroom 	E 	95.0 	2014-10-28 20:08:28 	
Bathroom 	E 	93.0 	2014-10-28 20:08:50 	
Bathroom 	E 	96.0 	2014-10-28 20:08:54 	
Bathroom 	E 	108.0 	2014-10-28 23:04:56 	
Bathroom 	SE 	113.0 	2014-10-28 23:05:00 	
Bathroom 	E 	82.0 	2014-10-29 11:50:35 	
Bathroom 	NE 	68.0 	2014-10-29 11:50:39 	
Bathroom 	E 	101.0 	2014-10-31 17:35:05 	
Bathroom 	E 	105.0 	2014-10-31 17:35:09 	
Bathroom 	E 	85.0 	2014-10-31 22:32:33 	
Bathroom 	E 	85.0 	2014-10-31 22:32:37 	
Bathroom 	NE 	65.0 	2014-10-31 23:26:59 	
Bathroom 	NE 	68.0 	2014-10-31 23:27:03 	
Bathroom 	NE 	66.0 	2014-11-01 17:45:20 	
Bathroom 	NE 	66.0 	2014-11-01 17:45:24 	
Bathroom 	NE 	66.0 	2014-11-01 17:46:04 	
Bathroom 	NE 	66.0 	2014-11-01 17:46:08 	
Bathroom 	E 	101.0 	2014-11-02 23:58:49 	
Bathroom 	E 	101.0 	2014-11-02 23:58:53 	
Bathroom 	E 	96.0 	2014-11-03 00:01:35 	
Bathroom 	E 	96.0 	2014-11-03 00:01:39 	
Bathroom 	E 	96.0 	2014-11-03 23:55:07 	
Bathroom 	E 	97.0 	2014-11-03 23:55:11 	
Bathroom 	E 	85.0 	2014-11-05 11:58:21 	
Bathroom 	E 	92.0 	2014-11-05 11:58:25 	
Bathroom 	SE 	133.0 	2014-11-05 18:56:41 	
Bathroom 	SE 	124.0 	2014-11-05 18:56:45 	
Bathroom 	E 	93.0 	2014-11-06 11:43:47 	
Bathroom 	E 	90.0 	2014-11-06 11:43:51 	
Bathroom 	E 	90.0 	2014-11-06 11:44:16 	
Bathroom 	E 	89.0 	2014-11-06 11:44:20 	
Bathroom 	SE 	115.0 	2014-11-08 23:44:43 	
Bathroom 	SE 	111.0 	2014-11-08 23:44:47 	
Bathroom 	E 	109.0 	2014-11-08 23:45:09 	
Bathroom 	E 	110.0 	2014-11-08 23:45:13 	
