Breakfast 	NW 	-59.0 	2014-10-07 08:17:32 	
Breakfast 	NW 	-59.0 	2014-10-07 08:17:36 	
Breakfast 	NW 	-59.0 	2014-10-07 08:18:34 	
Breakfast 	NW 	-59.0 	2014-10-07 08:18:38 	
Breakfast 	NW 	-52.0 	2014-10-07 08:20:10 	
Breakfast 	NW 	-69.0 	2014-10-07 08:20:14 	
Breakfast 	NW 	-59.0 	2014-10-07 08:21:18 	
Breakfast 	NW 	-59.0 	2014-10-07 08:21:22 	
Breakfast 	NW 	-54.0 	2014-10-12 10:40:43 	
Breakfast 	NW 	-55.0 	2014-10-12 10:40:47 	
Breakfast 	NW 	-51.0 	2014-10-12 10:48:20 	
Breakfast 	NW 	-52.0 	2014-10-12 10:49:05 	
Breakfast 	NW 	-48.0 	2014-10-12 10:50:14 	
Breakfast 	NW 	-53.0 	2014-10-12 10:50:33 	
Breakfast 	NW 	-63.0 	2014-10-18 09:40:21 	
Breakfast 	NW 	-61.0 	2014-10-18 09:40:25 	
Breakfast 	N 	-2.0 	2014-10-26 10:14:29 	
Breakfast 	N 	-4.0 	2014-10-26 10:14:33 	
Breakfast 	NW 	-32.0 	2014-10-28 07:44:31 	
Breakfast 	NW 	-32.0 	2014-10-28 07:44:35 	
Breakfast 	N 	-5.0 	2014-11-08 10:42:12 	
Breakfast 	N 	-2.0 	2014-11-08 10:42:16 	
Breakfast 	N 	8.0 	2014-11-08 10:42:36 	
Breakfast 	N 	10.0 	2014-11-08 10:42:40 	
Breakfast 	N 	6.0 	2014-11-08 10:42:58 	
Breakfast 	N 	4.0 	2014-11-08 10:43:02 	
Breakfast 	N 	7.0 	2014-11-08 10:43:25 	
Breakfast 	N 	8.0 	2014-11-08 10:43:29 	
Breakfast 	NE 	22.0 	2014-11-15 09:33:14 	
Breakfast 	NE 	20.0 	2014-11-15 09:33:18 	
Breakfast 	N 	19.0 	2014-11-15 09:33:35 	
Breakfast 	NE 	20.0 	2014-11-15 09:33:39 	
Breakfast 	N 	18.0 	2014-11-15 09:34:18 	
Breakfast 	NE 	23.0 	2014-11-15 09:34:22 	
Breakfast 	NE 	25.0 	2014-11-15 09:34:47 	
Breakfast 	N 	18.0 	2014-11-15 09:34:51 	
Breakfast 	N 	12.0 	2014-10-06 13:15:29 	
