Cooking 	SE 	114.0 	2014-10-07 23:28:48 	
Cooking 	SE 	117.0 	2014-10-07 23:28:52 	
Cooking 	SE 	148.0 	2014-10-08 15:50:48 	
Cooking 	SE 	148.0 	2014-10-08 15:50:52 	
Cooking 	SE 	148.0 	2014-10-08 15:51:27 	
Cooking 	SE 	148.0 	2014-10-08 15:51:31 	
Cooking 	S 	175.0 	2014-10-11 15:22:01 	
Cooking 	SE 	117.0 	2014-10-12 10:27:51 	
Cooking 	SE 	117.0 	2014-10-12 10:27:55 	
Cooking 	SE 	117.0 	2014-10-12 10:28:42 	
Cooking 	SE 	117.0 	2014-10-12 10:28:52 	
Cooking 	SE 	117.0 	2014-10-12 10:29:02 	
Cooking 	SE 	117.0 	2014-10-12 10:29:12 	
Cooking 	SE 	117.0 	2014-10-12 10:29:22 	
Cooking 	SE 	148.0 	2014-10-12 10:31:45 	
Cooking 	SE 	148.0 	2014-10-12 10:32:05 	
Cooking 	SE 	148.0 	2014-10-12 10:32:25 	
Cooking 	SE 	148.0 	2014-10-12 10:32:45 	
Cooking 	SE 	148.0 	2014-10-12 10:33:05 	
Cooking 	SE 	148.0 	2014-10-12 10:36:23 	
Cooking 	SE 	148.0 	2014-10-12 10:37:03 	
Cooking 	S 	175.0 	2014-10-12 10:43:43 	
Cooking 	SE 	135.0 	2014-10-12 10:45:20 	
Cooking 	S 	164.0 	2014-10-12 10:46:01 	
Cooking 	SW 	-125.0 	2014-10-12 13:53:15 	
Cooking 	SW 	-128.0 	2014-10-12 13:53:19 	
Cooking 	SW 	-125.0 	2014-10-12 13:54:02 	
Cooking 	SW 	-129.0 	2014-10-12 13:54:06 	
Cooking 	S 	168.0 	2014-10-12 20:06:08 	
Cooking 	S 	162.0 	2014-10-12 20:06:12 	
Cooking 	SE 	142.0 	2014-10-12 20:08:42 	
Cooking 	SE 	149.0 	2014-10-12 20:09:12 	
Cooking 	S 	165.0 	2014-10-13 23:51:32 	
Cooking 	S 	169.0 	2014-10-13 23:51:36 	
Cooking 	S 	-179.0 	2014-10-13 23:52:00 	
Cooking 	S 	169.0 	2014-10-13 23:52:04 	
Cooking 	S 	171.0 	2014-10-13 23:52:04 	
Cooking 	S 	173.0 	2014-10-13 23:52:08 	
Cooking 	S 	173.0 	2014-10-13 23:52:09 	
Cooking 	S 	173.0 	2014-10-13 23:52:13 	
Cooking 	S 	173.0 	2014-10-13 23:52:17 	
Cooking 	S 	173.0 	2014-10-13 23:52:21 	
Cooking 	S 	173.0 	2014-10-13 23:52:25 	
Cooking 	SW 	-127.0 	2014-10-14 00:01:36 	
Cooking 	SW 	-128.0 	2014-10-14 00:01:40 	
Cooking 	SE 	153.0 	2014-10-14 10:50:34 	
Cooking 	SW 	-150.0 	2014-10-14 10:50:38 	
Cooking 	SE 	148.0 	2014-10-14 12:03:17 	
