Dinner 	N 	-4.0 	2014-10-08 18:08:38 	
Dinner 	N 	-4.0 	2014-10-08 18:08:42 	
Dinner 	N 	-18.0 	2014-10-09 21:06:40 	
Dinner 	N 	-18.0 	2014-10-09 21:06:44 	
Dinner 	NE 	36.0 	2014-10-09 23:31:48 	
Dinner 	NE 	32.0 	2014-10-09 23:31:52 	
Dinner 	NW 	-20.0 	2014-10-10 21:23:16 	
Dinner 	N 	-9.0 	2014-10-10 21:23:20 	
Dinner 	N 	17.0 	2014-10-11 22:37:10 	
Dinner 	NE 	22.0 	2014-10-11 22:37:14 	
Dinner 	N 	-17.0 	2014-10-12 20:25:53 	
Dinner 	N 	-17.0 	2014-10-12 20:26:23 	
Dinner 	N 	15.0 	2014-10-13 19:42:34 	
Dinner 	N 	18.0 	2014-10-13 19:42:38 	
Dinner 	N 	15.0 	2014-10-15 20:31:20 	
Dinner 	N 	15.0 	2014-10-15 20:31:24 	
Dinner 	N 	12.0 	2014-10-18 19:47:02 	
Dinner 	N 	12.0 	2014-10-18 19:47:06 	
Dinner 	NW 	-33.0 	2014-10-18 19:53:11 	
Dinner 	NW 	-34.0 	2014-10-18 19:53:15 	
Dinner 	NW 	-23.0 	2014-10-18 19:53:35 	
Dinner 	NW 	-20.0 	2014-10-18 19:53:39 	
Dinner 	NW 	-26.0 	2014-10-19 19:43:24 	
Dinner 	NW 	-24.0 	2014-10-19 19:43:28 	
Dinner 	NW 	-64.0 	2014-10-20 20:13:09 	
Dinner 	NW 	-66.0 	2014-10-20 20:13:14 	
Dinner 	N 	15.0 	2014-10-21 18:06:19 	
Dinner 	N 	15.0 	2014-10-21 18:06:23 	
Dinner 	NW 	-32.0 	2014-10-22 18:26:09 	
Dinner 	NW 	-30.0 	2014-10-22 18:26:13 	
Dinner 	N 	-3.0 	2014-10-22 18:26:34 	
Dinner 	N 	-1.0 	2014-10-22 18:26:38 	
Dinner 	N 	15.0 	2014-10-23 19:02:09 	
Dinner 	N 	15.0 	2014-10-23 19:02:13 	
Dinner 	NW 	-35.0 	2014-10-25 18:26:56 	
Dinner 	NW 	-36.0 	2014-10-25 18:27:00 	
Dinner 	N 	12.0 	2014-10-25 19:05:18 	
Dinner 	N 	12.0 	2014-10-25 19:05:22 	
Dinner 	N 	12.0 	2014-10-25 19:05:41 	
Dinner 	N 	12.0 	2014-10-25 19:05:43 	
Dinner 	NW 	-20.0 	2014-10-26 19:47:54 	
Dinner 	N 	-17.0 	2014-10-26 19:47:58 	
Dinner 	N 	-18.0 	2014-10-26 19:48:17 	
Dinner 	N 	-16.0 	2014-10-26 19:48:21 	
Dinner 	N 	-13.0 	2014-10-26 19:48:40 	
Dinner 	NW 	-20.0 	2014-10-26 19:48:44 	
Dinner 	N 	15.0 	2014-10-27 18:34:23 	
Dinner 	N 	15.0 	2014-10-27 18:34:27 	
Dinner 	N 	15.0 	2014-10-27 18:34:50 	
Dinner 	N 	15.0 	2014-10-27 18:34:54 	
Dinner 	N 	15.0 	2014-10-28 19:01:12 	
Dinner 	N 	15.0 	2014-10-28 19:01:16 	
Dinner 	N 	15.0 	2014-10-28 19:01:36 	
Dinner 	N 	15.0 	2014-10-28 19:01:40 	
Dinner 	N 	15.0 	2014-10-28 19:02:47 	
Dinner 	N 	15.0 	2014-10-28 19:02:51 	
Dinner 	N 	15.0 	2014-10-28 19:17:07 	
Dinner 	N 	15.0 	2014-10-28 19:17:11 	
Dinner 	N 	-4.0 	2014-10-29 21:38:32 	
Dinner 	N 	-3.0 	2014-10-29 21:38:36 	
Dinner 	N 	-3.0 	2014-10-29 21:38:55 	
Dinner 	N 	-4.0 	2014-10-29 21:38:59 	
Dinner 	N 	-18.0 	2014-10-30 22:12:32 	
Dinner 	N 	-16.0 	2014-10-30 22:12:37 	
