Lunch 	N 	-9.0 	2014-10-08 12:38:14 	
Lunch 	N 	-9.0 	2014-10-08 12:38:18 	
Lunch 	N 	-9.0 	2014-10-10 10:52:30 	
Lunch 	N 	-9.0 	2014-10-10 10:52:34 	
Lunch 	N 	-7.0 	2014-10-11 15:22:33 	
Lunch 	NW 	-37.0 	2014-10-12 14:08:24 	
Lunch 	NW 	-37.0 	2014-10-12 14:08:28 	
Lunch 	N 	7.0 	2014-10-12 14:25:05 	
Lunch 	N 	0.0 	2014-10-12 14:25:09 	
Lunch 	N 	-2.0 	2014-10-13 13:20:13 	
Lunch 	N 	6.0 	2014-10-13 13:20:17 	
Lunch 	N 	10.0 	2014-10-14 12:20:19 	
Lunch 	N 	4.0 	2014-10-14 12:20:23 	
Lunch 	N 	9.0 	2014-10-14 12:20:44 	
Lunch 	N 	12.0 	2014-10-14 12:20:49 	
Lunch 	N 	3.0 	2014-10-15 12:16:29 	
Lunch 	N 	4.0 	2014-10-15 12:16:33 	
Lunch 	NW 	-61.0 	2014-10-19 13:44:54 	
Lunch 	NW 	-63.0 	2014-10-19 13:44:59 	
Lunch 	NW 	-64.0 	2014-10-20 12:37:16 	
Lunch 	NW 	-58.0 	2014-10-20 12:37:20 	
Lunch 	NW 	-59.0 	2014-10-20 12:38:02 	
Lunch 	NW 	-63.0 	2014-10-20 12:38:06 	
Lunch 	N 	9.0 	2014-10-21 12:32:20 	
Lunch 	N 	5.0 	2014-10-21 12:32:24 	
Lunch 	N 	-9.0 	2014-10-21 18:05:55 	
Lunch 	N 	-9.0 	2014-10-21 18:05:59 	
Lunch 	N 	-9.0 	2014-10-22 14:15:19 	
Lunch 	NE 	31.0 	2014-10-22 14:15:23 	
Lunch 	N 	-10.0 	2014-10-24 12:06:03 	
Lunch 	N 	-8.0 	2014-10-24 12:06:07 	
Lunch 	N 	-7.0 	2014-10-24 12:06:26 	
Lunch 	N 	-2.0 	2014-10-24 12:06:30 	
Lunch 	N 	7.0 	2014-10-24 12:06:56 	
Lunch 	N 	-4.0 	2014-10-24 12:07:12 	
Lunch 	N 	-2.0 	2014-10-24 12:07:20 	
