Midnight snack 	N 	-19.0 	2014-10-22 00:42:53 	
Midnight snack 	N 	-19.0 	2014-10-22 00:42:57 	
Midnight snack 	N 	-19.0 	2014-10-22 00:43:19 	
Midnight snack 	N 	-19.0 	2014-10-22 00:43:23 	
Midnight snack 	NW 	-47.0 	2014-10-22 23:30:54 	
Midnight snack 	NW 	-47.0 	2014-10-22 23:30:58 	
Midnight snack 	NW 	-50.0 	2014-10-22 23:32:15 	
Midnight snack 	NW 	-48.0 	2014-10-22 23:32:19 	
Midnight snack 	NW 	-54.0 	2014-10-22 23:32:49 	
Midnight snack 	NW 	-52.0 	2014-10-22 23:32:53 	
Midnight snack 	NW 	-53.0 	2014-10-22 23:33:42 	
Midnight snack 	NW 	-50.0 	2014-10-22 23:33:46 	
Midnight snack 	NW 	-51.0 	2014-10-22 23:34:02 	
Midnight snack 	NW 	-50.0 	2014-10-22 23:34:06 	
Midnight snack 	N 	2.0 	2014-10-25 23:24:11 	
Midnight snack 	N 	4.0 	2014-10-25 23:24:15 	
Midnight snack 	N 	3.0 	2014-10-25 23:24:38 	
Midnight snack 	N 	9.0 	2014-10-25 23:24:42 	
Midnight snack 	NW 	-56.0 	2014-10-26 23:59:55 	
Midnight snack 	NW 	-65.0 	2014-10-26 23:59:59 	
Midnight snack 	NW 	-63.0 	2014-10-27 00:00:22 	
Midnight snack 	NW 	-63.0 	2014-10-27 00:00:26 	
Midnight snack 	NW 	-63.0 	2014-10-27 00:00:46 	
Midnight snack 	NW 	-65.0 	2014-10-27 00:00:50 	
Midnight snack 	NW 	-61.0 	2014-10-27 00:01:12 	
Midnight snack 	NW 	-62.0 	2014-10-27 00:01:16 	
Midnight snack 	N 	-19.0 	2014-10-27 22:20:34 	
Midnight snack 	N 	-19.0 	2014-10-27 22:20:38 	
Midnight snack 	N 	-19.0 	2014-10-27 22:20:57 	
Midnight snack 	N 	-19.0 	2014-10-27 22:21:01 	
Midnight snack 	NW 	-41.0 	2014-10-28 23:38:14 	
Midnight snack 	NW 	-39.0 	2014-10-28 23:38:18 	
Midnight snack 	NW 	-40.0 	2014-10-28 23:38:37 	
Midnight snack 	NW 	-40.0 	2014-10-28 23:38:41 	
Midnight snack 	NW 	-57.0 	2014-10-31 21:28:53 	
Midnight snack 	NW 	-56.0 	2014-10-31 21:28:57 	
Midnight snack 	NW 	-67.0 	2014-10-31 22:56:34 	
Midnight snack 	NE 	32.0 	2014-10-31 22:56:38 	
Midnight snack 	NW 	-41.0 	2014-10-31 23:05:36 	
Midnight snack 	NW 	-36.0 	2014-10-31 23:05:40 	
Midnight snack 	NW 	-21.0 	2014-10-31 23:10:38 	
Midnight snack 	NW 	-21.0 	2014-10-31 23:10:42 	
Midnight snack 	NW 	-33.0 	2014-11-04 00:18:26 	
Midnight snack 	NW 	-38.0 	2014-11-04 00:18:30 	
Midnight snack 	N 	-18.0 	2014-11-04 00:18:55 	
Midnight snack 	NW 	-20.0 	2014-11-04 00:18:59 	
Midnight snack 	N 	14.0 	2014-11-05 22:56:16 	
Midnight snack 	N 	15.0 	2014-11-05 22:56:20 	
Midnight snack 	N 	10.0 	2014-11-05 22:57:09 	
Midnight snack 	N 	13.0 	2014-11-05 22:57:13 	
Midnight snack 	N 	0.0 	2014-11-10 22:24:16 	
Midnight snack 	N 	4.0 	2014-11-10 22:24:20 	
Midnight snack 	NE 	21.0 	2014-11-11 00:02:59 	
Midnight snack 	NE 	23.0 	2014-11-11 00:03:03 	
Midnight snack 	N 	7.0 	2014-11-11 00:03:24 	
Midnight snack 	N 	8.0 	2014-11-11 00:03:28 	
Midnight snack 	N 	-2.0 	2014-11-11 00:03:56 	
Midnight snack 	N 	6.0 	2014-11-11 00:04:00 	
Midnight snack 	NW 	-24.0 	2014-11-12 00:15:58 	
Midnight snack 	NW 	-28.0 	2014-11-12 00:16:02 	
Midnight snack 	NW 	-27.0 	2014-11-12 00:16:20 	
Midnight snack 	NW 	-26.0 	2014-11-12 00:16:24 	
Midnight snack 	NW 	-23.0 	2014-11-12 00:16:49 	
Midnight snack 	NW 	-23.0 	2014-11-12 00:16:53 	
Midnight snack 	NW 	-45.0 	2014-11-12 23:16:05 	
Midnight snack 	NW 	-45.0 	2014-11-12 23:16:10 	
Midnight snack 	NW 	-45.0 	2014-11-12 23:16:42 	
Midnight snack 	NW 	-45.0 	2014-11-12 23:16:46 	
Midnight snack 	NW 	-45.0 	2014-11-12 23:17:15 	
Midnight snack 	NW 	-44.0 	2014-11-12 23:17:19 	
