Washing dishes 	W 	-104.0 	2014-10-13 23:52:44 	
Washing dishes 	W 	-107.0 	2014-10-13 23:52:48 	
Washing dishes 	SW 	-110.0 	2014-10-13 23:52:52 	
Washing dishes 	SW 	-110.0 	2014-10-13 23:52:56 	
Washing dishes 	SW 	-111.0 	2014-10-13 23:53:01 	
Washing dishes 	SW 	-110.0 	2014-10-13 23:53:05 	
Washing dishes 	SW 	-131.0 	2014-10-14 12:54:02 	
Washing dishes 	SW 	-130.0 	2014-10-14 12:55:01 	
Washing dishes 	W 	-88.0 	2014-10-17 18:55:58 	
Washing dishes 	W 	-88.0 	2014-10-17 18:56:02 	
Washing dishes 	W 	-88.0 	2014-10-17 19:39:01 	
Washing dishes 	SW 	-149.0 	2014-10-17 19:39:05 	
Washing dishes 	W 	-88.0 	2014-10-18 09:07:15 	
Washing dishes 	W 	-88.0 	2014-10-18 09:07:20 	
Washing dishes 	W 	-88.0 	2014-10-18 19:29:30 	
Washing dishes 	W 	-88.0 	2014-10-18 19:29:34 	
Washing dishes 	W 	-88.0 	2014-10-18 20:16:44 	
Washing dishes 	W 	-88.0 	2014-10-18 20:16:48 	
Washing dishes 	NW 	-62.0 	2014-10-19 13:23:34 	
Washing dishes 	NW 	-64.0 	2014-10-19 13:23:38 	
Washing dishes 	W 	-102.0 	2014-10-21 18:05:17 	
Washing dishes 	W 	-102.0 	2014-10-21 18:05:21 	
Washing dishes 	W 	-90.0 	2014-10-22 23:37:39 	
Washing dishes 	W 	-93.0 	2014-10-22 23:37:43 	
Washing dishes 	W 	-96.0 	2014-10-24 11:04:31 	
Washing dishes 	W 	-92.0 	2014-10-24 11:04:35 	
Washing dishes 	W 	-94.0 	2014-10-25 17:54:59 	
Washing dishes 	W 	-86.0 	2014-10-25 17:55:03 	
Washing dishes 	W 	-92.0 	2014-10-25 17:56:23 	
Washing dishes 	W 	-89.0 	2014-10-25 17:56:27 	
Washing dishes 	W 	-102.0 	2014-10-26 12:33:46 	
Washing dishes 	W 	-94.0 	2014-10-26 12:33:50 	
Washing dishes 	W 	-83.0 	2014-10-26 12:36:35 	
Washing dishes 	W 	-88.0 	2014-10-26 12:36:39 	
Washing dishes 	W 	-94.0 	2014-10-28 23:06:57 	
Washing dishes 	W 	-103.0 	2014-10-28 23:07:01 	
Washing dishes 	SW 	-118.0 	2014-10-29 22:07:03 	
Washing dishes 	SW 	-120.0 	2014-10-29 22:07:07 	
Washing dishes 	SW 	-118.0 	2014-10-29 22:09:43 	
Washing dishes 	SW 	-123.0 	2014-10-29 22:09:47 	
