@RELATION activityRelation

@ATTRIBUTE orientation numeric
@ATTRIBUTE soundPredictionResult numeric
@ATTRIBUTE wifiPredictionResult numeric
@ATTRIBUTE hour numeric
@ATTRIBUTE activity {Bathroom,Midnightsnack,Cooking,Lunch,Dinner,Chopping,Washinginbathroom,Washingdishes,Breakfast}

@DATA
5,0,2,00,Washinginbathroom
6,1,2,23,Washinginbathroom
6,1,2,23,Washinginbathroom
5,1,2,23,Washinginbathroom
5,1,2,23,Washinginbathroom
7,?,2,23,Washinginbathroom
7,?,2,23,Washinginbathroom
6,15,2,12,Washinginbathroom
6,15,2,12,Washinginbathroom
6,5,2,12,Washinginbathroom
6,5,2,12,Washinginbathroom
7,0,2,23,Washinginbathroom
7,0,2,23,Washinginbathroom
6,0,2,11,Washinginbathroom
6,0,2,11,Washinginbathroom
6,7,2,21,Washinginbathroom
6,7,2,21,Washinginbathroom
6,5,2,22,Washinginbathroom
6,5,2,22,Washinginbathroom
5,7,2,23,Washinginbathroom
5,7,2,23,Washinginbathroom
6,7,2,20,Washinginbathroom
6,7,2,20,Washinginbathroom
6,15,2,20,Washinginbathroom
6,15,2,20,Washinginbathroom
6,6,2,21,Washinginbathroom
6,6,2,12,Washinginbathroom
6,6,2,12,Washinginbathroom
6,14,2,23,Washinginbathroom
6,14,2,23,Washinginbathroom
6,1,2,23,Washinginbathroom
6,1,2,23,Washinginbathroom
6,6,2,11,Washinginbathroom
6,6,2,11,Washinginbathroom
6,7,2,11,Washinginbathroom
6,7,2,11,Washinginbathroom
6,7,2,11,Washinginbathroom
6,7,2,11,Washinginbathroom
6,18,2,11,Washinginbathroom
6,18,2,11,Washinginbathroom
7,1,2,18,Washinginbathroom
7,1,2,18,Washinginbathroom
7,5,2,18,Washinginbathroom
6,5,2,23,Washinginbathroom
6,5,2,23,Washinginbathroom
5,?,2,23,Washinginbathroom
5,?,2,23,Washinginbathroom
6,7,2,14,Washinginbathroom
6,7,2,14,Washinginbathroom
7,6,2,22,Washinginbathroom
7,6,2,22,Washinginbathroom
7,2,2,22,Washinginbathroom
7,2,2,22,Washinginbathroom
5,15,2,00,Washinginbathroom
5,15,2,00,Washinginbathroom
6,15,2,22,Washinginbathroom
6,15,2,22,Washinginbathroom
6,?,2,22,Washinginbathroom
6,?,2,22,Washinginbathroom
6,6,2,11,Washinginbathroom
6,6,2,11,Washinginbathroom
6,?,2,12,Washinginbathroom
6,6,2,00,Washinginbathroom
6,6,2,00,Washinginbathroom
5,18,2,12,Washinginbathroom
5,18,2,12,Washinginbathroom
6,15,2,15,Washinginbathroom
6,15,2,15,Washinginbathroom
6,7,2,18,Washinginbathroom
6,7,2,18,Washinginbathroom
6,?,2,18,Washinginbathroom
6,?,2,18,Washinginbathroom
6,1,2,19,Washinginbathroom
6,1,2,19,Washinginbathroom
6,5,2,19,Washinginbathroom
6,7,2,22,Washinginbathroom
6,7,2,22,Washinginbathroom
6,?,2,23,Washinginbathroom
6,?,2,23,Washinginbathroom
6,5,2,23,Washinginbathroom
6,5,2,23,Washinginbathroom
6,7,2,23,Washinginbathroom
6,7,2,23,Washinginbathroom
6,2,2,19,Washinginbathroom
6,2,2,19,Washinginbathroom
6,?,2,19,Washinginbathroom
6,?,2,19,Washinginbathroom
6,1,2,19,Washinginbathroom
6,1,2,19,Washinginbathroom
5,7,2,00,Washinginbathroom
5,?,2,00,Washinginbathroom
5,?,2,00,Washinginbathroom
5,7,2,00,Washinginbathroom
5,7,2,00,Washinginbathroom
5,6,2,00,Washinginbathroom
5,6,2,00,Washinginbathroom
6,6,2,11,Washinginbathroom
6,6,2,11,Washinginbathroom
6,7,2,11,Washinginbathroom
6,7,2,11,Washinginbathroom
6,5,2,19,Washinginbathroom
6,5,2,19,Washinginbathroom
6,?,2,19,Washinginbathroom
6,?,2,19,Washinginbathroom
6,11,2,19,Washinginbathroom
6,11,2,19,Washinginbathroom
6,11,2,20,Washinginbathroom
6,11,2,20,Washinginbathroom
6,5,2,20,Washinginbathroom
6,5,2,20,Washinginbathroom
6,8,2,20,Washinginbathroom
6,6,2,23,Washinginbathroom
6,6,2,23,Washinginbathroom
6,?,2,23,Washinginbathroom
6,?,2,23,Washinginbathroom
5,7,2,13,Washinginbathroom
5,7,2,13,Washinginbathroom
5,?,2,13,Washinginbathroom
5,?,2,13,Washinginbathroom
5,8,2,13,Washinginbathroom
5,8,2,13,Washinginbathroom
5,7,2,14,Washinginbathroom
5,7,2,14,Washinginbathroom
5,5,2,17,Washinginbathroom
5,11,2,15,Washinginbathroom
5,?,2,15,Washinginbathroom
6,?,2,16,Washinginbathroom
6,7,2,16,Washinginbathroom
5,7,2,16,Washinginbathroom
7,0,2,20,Bathroom
7,0,2,20,Bathroom
7,7,2,23,Bathroom
6,7,2,23,Bathroom
6,7,2,23,Bathroom
6,7,2,23,Bathroom
6,7,2,23,Bathroom
6,7,2,23,Bathroom
5,5,2,11,Bathroom
5,5,2,11,Bathroom
6,7,2,11,Bathroom
5,7,2,11,Bathroom
5,7,2,11,Bathroom
5,7,2,11,Bathroom
5,2,2,21,Bathroom
5,2,2,21,Bathroom
6,7,2,00,Bathroom
6,7,2,00,Bathroom
6,11,2,00,Bathroom
6,11,2,00,Bathroom
6,6,2,20,Bathroom
