4	1:-50	2:-48	3:-56	4:-63	5:-72	6:-70	7:-77	8:0	#2014-11-12 00:16:49
4	1:-67	2:-88	3:-60	4:-52	5:-67	6:-81	7:-76	8:0	#2014-11-10 12:33:42
4	1:-57	2:-49	3:-70	4:-67	5:-63	6:-79	7:-82	8:-85	#2014-10-30 12:55:09
2	1:-56	2:-44	3:-58	4:-66	5:-72	6:-75	7:0	8:0	#2014-11-14 23:45:47
2	1:-57	2:-48	3:-58	4:-65	5:-79	6:-80	7:-80	8:0	#2014-10-26 12:30:11
2	1:-49	2:-47	3:-57	4:-65	5:-75	6:-75	7:-81	8:0	#2014-11-12 18:32:29
4	1:-52	2:-52	3:-64	4:-55	5:-70	6:-81	7:-80	8:0	#2014-11-10 12:34:10
4	1:-47	2:-43	3:-58	4:-63	5:-71	6:-71	7:-82	8:-68	#2014-10-19 18:37:20
4	1:-70	2:-50	3:-56	4:-61	5:-79	6:-77	7:-79	8:0	#2014-11-05 17:53:02
4	1:-64	2:-46	3:-49	4:-59	5:-68	6:-82	7:-81	8:0	#2014-11-13 13:11:53
4	1:-44	2:-44	3:-53	4:-56	5:-71	6:-83	7:-80	8:0	#2014-10-27 18:34:54
4	1:-52	2:-46	3:-56	4:-56	5:-70	6:-84	7:-86	8:0	#2014-11-06 20:41:33
1	1:-50	2:-84	3:-88	4:-64	5:-83	6:-77	7:-85	8:-83	#2014-10-17 10:39:38
4	1:-57	2:-49	3:-54	4:-66	5:-76	6:-89	7:-84	8:0	#2014-11-07 12:42:06
4	1:-51	2:-44	3:-52	4:-65	5:-67	6:-77	7:0	8:0	#2014-11-09 21:33:54
4	1:-64	2:-41	3:-67	4:-60	5:-79	6:-80	7:-81	8:0	#2014-11-12 12:14:45
2	1:-52	2:-58	3:-56	4:-69	5:-83	6:-80	7:-83	8:0	#2014-10-25 23:40:02
1	1:-44	2:-36	3:-62	4:-69	5:-73	6:-75	7:-85	8:-83	#2014-10-18 19:11:03
1	1:-63	2:-54	3:-62	4:-67	5:-80	6:-85	7:-83	8:-88	#2014-10-13 21:29:20
4	1:-39	2:-78	3:-48	4:-61	5:-68	6:-77	7:-79	8:-79	#2014-10-31 21:28:57
4	1:-58	2:-53	3:-62	4:-74	5:-79	6:-75	7:-82	8:0	#2014-11-06 11:47:53
2	1:-67	2:-53	3:-58	4:-71	5:-76	6:0	7:-82	8:0	#2014-11-15 13:16:32
2	1:-49	2:-49	3:-62	4:-77	5:-75	6:-78	7:-86	8:0	#2014-10-26 12:31:13
4	1:-64	2:-55	3:-48	4:-54	5:-69	6:-84	7:-78	8:0	#2014-11-15 14:35:23
1	1:-51	2:-52	3:-53	4:-65	5:-88	6:-82	7:0	8:0	#2014-11-14 21:30:33
4	1:-52	2:-48	3:-86	4:-58	5:-66	6:-83	7:-84	8:0	#2014-11-08 23:11:06
2	1:-50	2:-43	3:-67	4:-70	5:-86	6:-81	7:-79	8:0	#2014-11-11 11:42:58
4	1:-66	2:-47	3:-60	4:-60	5:-72	6:-88	7:-83	8:0	#2014-11-11 17:38:38
1	1:-49	2:-50	3:-47	4:-57	5:-71	6:-71	7:-70	8:-85	#2014-10-15 10:14:56
4	1:-52	2:-49	3:-56	4:-47	5:-66	6:-86	7:-75	8:0	#2014-10-26 12:42:49
4	1:-65	2:-51	3:-59	4:-72	5:-70	6:-88	7:0	8:0	#2014-11-06 20:39:43
4	1:-63	2:-44	3:-58	4:-64	5:-73	6:-83	7:-80	8:0	#2014-11-15 13:41:49
4	1:-64	2:-47	3:-65	4:-63	5:-77	6:-86	7:-83	8:0	#2014-11-02 22:06:02
4	1:-54	2:-53	3:-62	4:-48	5:-72	6:-77	7:-73	8:0	#2014-10-14 00:01:36
4	1:-59	2:-47	3:-58	4:0	5:-69	6:-79	7:-79	8:0	#2014-11-04 18:35:29
4	1:-63	2:-48	3:-61	4:-53	5:-76	6:-87	7:-82	8:0	#2014-11-15 09:31:07
2	1:-56	2:-47	3:-63	4:-62	5:-83	6:-80	7:-86	8:-81	#2014-10-22 20:35:36
4	1:-71	2:-46	3:-53	4:-55	5:-70	6:-86	7:-92	8:0	#2014-11-16 13:48:45
4	1:-52	2:-48	3:-58	4:-56	5:-72	6:-86	7:-85	8:0	#2014-10-25 18:26:56
4	1:-42	2:-49	3:-58	4:-48	5:-68	6:-75	7:0	8:-76	#2014-10-30 22:12:57
1	1:-39	2:-48	3:-48	4:-63	5:-78	6:-76	7:-78	8:0	#2014-10-28 20:11:08
1	1:-57	2:-53	3:-90	4:-78	5:-79	6:-86	7:-86	8:-85	#2014-10-19 19:52:34
1	1:-46	2:-49	3:-52	4:-68	5:-78	6:-70	7:-85	8:0	#2014-11-05 12:55:02
2	1:-50	2:-55	3:-59	4:-73	5:-80	6:-73	7:-91	8:-85	#2014-10-17 11:34:35
4	1:-47	2:-38	3:-75	4:-54	5:-63	6:-70	7:-76	8:0	#2014-11-11 00:03:28
4	1:-73	2:-47	3:-55	4:-61	5:-73	6:-88	7:-80	8:0	#2014-11-15 13:38:52
2	1:-54	2:-43	3:-60	4:-62	5:-74	6:-73	7:-77	8:0	#2014-11-14 23:46:28
4	1:-58	2:-48	3:-59	4:-54	5:-80	6:-89	7:-85	8:0	#2014-11-12 12:43:08
4	1:-59	2:-50	3:-63	4:-58	5:-69	6:-81	7:-86	8:-85	#2014-10-14 12:08:04
4	1:-66	2:-57	3:-57	4:-57	5:-71	6:-82	7:-80	8:0	#2014-11-07 12:07:28
1	1:-50	2:-47	3:-69	4:-66	5:-80	6:-79	7:-76	8:0	#2014-10-28 06:58:05
1	1:-45	2:-48	3:-49	4:-72	5:-82	6:-78	7:-85	8:0	#2014-10-12 21:39:03
4	1:-54	2:-55	3:-58	4:-48	5:-67	6:-78	7:-82	8:0	#2014-11-14 00:32:53
4	1:-68	2:-43	3:-68	4:-65	5:-80	6:-87	7:-83	8:0	#2014-11-02 22:05:58
4	1:-48	2:-46	3:-54	4:-56	5:-66	6:-78	7:-80	8:-79	#2014-10-19 19:43:28
4	1:-46	2:-37	3:-53	4:-53	5:-63	6:-68	7:-77	8:-81	#2014-10-21 18:05:59
1	1:-55	2:-83	3:-54	4:-70	5:-83	6:-77	7:-85	8:0	#2014-10-26 17:51:46
4	1:-49	2:-39	3:-55	4:-57	5:-73	6:-77	7:0	8:0	#2014-11-14 00:43:26
1	1:-41	2:-46	3:-59	4:-67	5:-79	6:-74	7:-83	8:-82	#2014-10-13 00:53:03
2	1:-48	2:-48	3:-57	4:-71	5:-69	6:-74	7:-88	8:-86	#2014-10-17 11:34:09
1	1:-55	2:-79	3:-53	4:-63	5:-83	6:-73	7:-85	8:0	#2014-10-26 19:27:59
4	1:-49	2:-40	3:-45	4:-52	5:-72	6:-73	7:-77	8:0	#2014-10-31 16:43:38
4	1:-58	2:-46	3:-57	4:-62	5:-80	6:-77	7:-80	8:0	#2014-11-05 23:10:27
1	1:-55	2:-41	3:-53	4:-76	5:-79	6:-72	7:-78	8:-85	#2014-10-14 21:13:35
2	1:-66	2:-56	3:-59	4:-65	5:-73	6:-89	7:-79	8:0	#2014-11-14 00:57:02
1	1:-54	2:-53	3:-55	4:-72	5:-84	6:-77	7:-66	8:0	#2014-10-14 23:00:50
1	1:-57	2:-53	3:-46	4:-65	5:-82	6:-85	7:-89	8:-84	#2014-10-20 20:53:33
1	1:-52	2:-54	3:-55	4:-70	5:-74	6:-86	7:-85	8:0	#2014-10-26 12:27:43
4	1:-60	2:-49	3:-54	4:-50	5:-62	6:-78	7:-70	8:0	#2014-11-08 10:20:06
4	1:-56	2:-42	3:-50	4:-52	5:-72	6:-80	7:-80	8:0	#2014-10-26 19:48:17
4	1:-61	2:-43	3:-69	4:-72	5:-71	6:-82	7:-82	8:0	#2014-11-15 13:44:38
4	1:-87	2:-49	3:-50	4:-64	5:-76	6:-79	7:-80	8:0	#2014-11-12 00:16:02
1	1:-59	2:-52	3:-54	4:-70	5:-83	6:-83	7:-83	8:-80	#2014-10-19 19:52:38
2	1:-60	2:-50	3:-53	4:-56	5:-74	6:-83	7:-83	8:0	#2014-11-12 23:34:17
4	1:-56	2:-51	3:-56	4:-54	5:-69	6:-79	7:-76	8:-86	#2014-10-20 12:28:53
2	1:-47	2:-50	3:-63	4:-73	5:-78	6:-86	7:-87	8:0	#2014-10-31 22:32:01
4	1:-60	2:-47	3:-63	4:-70	5:-75	6:-78	7:-84	8:0	#2014-11-06 20:35:05
1	1:-42	2:-43	3:-49	4:-55	5:-75	6:-77	7:-88	8:0	#2014-11-10 22:12:34
4	1:-48	2:-40	3:-54	4:-59	5:-65	6:-76	7:-79	8:-76	#2014-10-19 13:44:59
2	1:-68	2:-50	3:-48	4:-54	5:-72	6:-86	7:-82	8:0	#2014-11-15 14:38:31
1	1:-40	2:-47	3:-51	4:-63	5:-81	6:0	7:-82	8:0	#2014-11-16 21:27:40
4	1:-71	2:-44	3:-85	4:-63	5:-67	6:-84	7:-78	8:-79	#2014-10-14 12:20:23
4	1:-48	2:-45	3:-60	4:-54	5:-70	6:-80	7:-87	8:-77	#2014-10-30 22:12:37
1	1:-40	2:-44	3:-50	4:-69	5:-76	6:-79	7:-83	8:0	#2014-11-12 19:19:27
1	1:-47	2:-41	3:-47	4:-63	5:-75	6:-86	7:0	8:0	#2014-11-16 16:05:56
1	1:-57	2:-47	3:-48	4:-63	5:-79	6:-78	7:-88	8:0	#2014-11-01 18:34:32
1	1:-50	2:-54	3:-52	4:-69	5:-85	6:-80	7:-75	8:0	#2014-11-11 19:45:06
1	1:-41	2:-47	3:-52	4:-60	5:-67	6:-76	7:-81	8:0	#2014-11-02 09:22:44
4	1:-55	2:-39	3:-44	4:-50	5:-65	6:-74	7:0	8:0	#2014-11-15 13:54:28
4	1:-52	2:-49	3:-48	4:-52	5:-77	6:-82	7:-85	8:-84	#2014-10-13 19:42:34
