20141006_110010 	  Lunch 	 keyboard
20141019_134438 	  Lunch 	 cooking4
20141006_110357 	  Lunch 	 keyboard
20141006_103740 	  Lunch 	 keyboard
20141020_123703 	  Lunch 	 music and eating
20141014_122004 	  Lunch 	 cooking3
20141014_122030 	  Lunch  	 None
20141021_123204 	  Lunch 	 cooking4
20141024_120545 	  Lunch 	 cooking2
20141006_114026 	  Lunch 	 music and eating
20141024_120704 	  Lunch 	 cooking4
20141026_130029 	  Lunch  	 None
20141020_123750 	  Lunch 	 cooking4
20141015_121615 	  Lunch 	 cooking4
20141006_103345 	  Lunch 	 cooking2
20141024_120613 	  Lunch 	 cooking
