20141014_213702	 Cooking	None
20141018_085550	 Cooking	None
20141022_003853	 Cooking	None
20141022_003917	 Cooking	None
20141020_122807	 Cooking	None
20141020_122837	 Cooking	None
20141014_000121	 Cooking	None
20141024_110328	 Cooking	None
20141014_120551	 Cooking	None
20141019_183918	 Cooking	None
20141012_135347	 Cooking	None
20141012_103053	 Cooking	None
20141031_162027	 Cooking	None
20141113_195216	 Cooking	None
20141111_114831	 Cooking	None
20141101_195951	 Cooking	None
20141114_112143	 Cooking	None
20141111_115027	 Cooking	None
20141115_132119	 Cooking	None
20141113_195104	 Cooking	None
20141105_181652	 Cooking	None
20141114_111931	 Cooking	None
20141110_122050	 Cooking	None
20141115_135032	 Cooking	None
20141116_132200	 Cooking	None
20141112_182509	 Cooking	None
20141114_003312	 Cooking	None
20141115_092947	 Cooking	None
