20141026_123023	 Washing in bathroom	None
20141109_221820	 Washing in bathroom	None
20141031_223116	 Washing in bathroom	None
20141114_115203	 Washing in bathroom	None
20141115_143824	 Washing in bathroom	None
20141112_153304	 Washing in bathroom	None
20141114_234540	 Washing in bathroom	None
20141113_194138	 Washing in bathroom	None
20141105_185559	 Washing in bathroom	None
20141107_232011	 Washing in bathroom	None
20141113_194050	 Washing in bathroom	None
20141115_131625	 Washing in bathroom	None
20141112_191731	 Washing in bathroom	None
20141105_115222	 Washing in bathroom	None
