seed/bathroom.mp3 already fingerprinted, continuing...
seed/bus.mp3 already fingerprinted, continuing...
seed/Walking outside.mp3 already fingerprinted, continuing...
seed/keyboard.mp3 already fingerprinted, continuing...
seed/music and eating.mp3 already fingerprinted, continuing...
seed/washing.mp3 already fingerprinted, continuing...
seed/cooking2.mp3 already fingerprinted, continuing...
seed/cooking.mp3 already fingerprinted, continuing...
9898
----------------------------17---------
Filename 	         Prediction 	          Actual activity 				 Prediction by human ear 
20141026_235938 	 bathroom 				  Midnight snack
20141012_120829 	 keyboard 				  Working on PC at home
20141006_103303 	 keyboard 				  Eating
20141026_180810 	 cooking2 		    		  Working on PC at home
20141026_125123 	 Walking outside 				  Cooking
20141006_144517 	 music and eating 				  Music
20141007_081649 	 cooking 				  Breakfast
20141021_180500 	 bathroom 			  	  Washing dishes
20141026_194805 	 keyboard 				  Dinner
20141019_121404 	 cooking 				  Working on PC at home
20141022_234830 	 keyboard 				  Bathroom
20141018_085504 	 cooking2 				  Cooking
20141013_222241 	 bathroom 				  Working on PC at home
20141021_180605 	 bathroom 				  Dinner
20141014_000121 	 keyboard 				  Cooking
20141014_213702 	 keyboard 				  Cooking
20141019_132322 	 bus 				  Washing dishes
20141019_161556 	 bathroom 				  Working on PC at home
20141012_135258 	 cooking 				  Cooking
20141020_122837 	 bus 				  Cooking
20141006_110010 	 bathroom 				  Lunch
20141007_200620 	 keyboard 				  Bathroom
20141025_141958 	 cooking 				  Working on PC at home
20141017_114322 	 cooking2 				  Cooking
20141023_190154 	 bathroom 				  Dinner
20141017_113422 	 cooking2 				  Bathroom
20141013_234641 	 bathroom 				  Bathroom
20141019_183703 	 cooking2 				  Cooking
20141025_182641 	 cooking2 				  Dinner
20141012_120708 	 bus 				  Working on PC at home
20141026_235456 	 cooking 				  Cooking
20141026_194829 	 cooking2 				  Dinner
20141019_134438 	 bathroom 				  Lunch
20141021_120251 	 bathroom 				  Cooking
20141008_155032 	 bathroom 				  Cooking
20141006_110357 	 Walking outside 				  Lunch
20141022_004141 	 bathroom 				  Bathroom
20141025_232356 	 keyboard 				  Midnight snack
20141012_104929 	 cooking 				  Breakfast
20141022_182621 	 bathroom 				  Dinner
20141025_175436 	 Walking outside 				  Washing dishes
20141026_204955 	 keyboard 				  Working on PC at home
20141008_155104 	 cooking2 				  Cooking
20141025_175609 	 cooking 				  Washing dishes
20141012_103451 	 cooking2 				  Cooking
20141006_103740 	 keyboard 				  Lunch
20141020_123703 	 music and eating 				  Lunch
