b,c,d,e,g,h,r,f,i,l,m,n,j,k,o,q,s,a,p,t,u,<--,classified,as,
331,2,,,3,4,,,,,,,,,5,,60,,,,,|,b,=,Bathroombowel
1,150,,62,,26,11,,9,,,,,1,,2,11,,,,,|,c,=,Bathroomfaucet
3,14,,5,,1,1,,,,,,,,,,,,,,,|,d,=,Bathroomflushing
,66,1,91,,13,10,,17,,1,3,,,1,,4,,1,,,|,e,=,Bathroompee
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,13,9,,,,3,,,,,,1,,,,,|,g,=,Chop
7,5,,1,,353,11,,27,,33,12,1,,,2,53,,,,1,|,h,=,Cooking
6,10,,2,2,79,63,,16,,15,1,1,,3,1,28,,,,,|,r,=,Washingdishes
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15,,,,,,,,,,,,,,|,f,=,Breakfast
,13,,,,27,,,437,,,8,1,,,3,2,,,,,|,i,=,Dinner
,,,,,1,2,,,4,2,,,2,,,,,,,,|,l,=,LivingRoom
1,,,9,,,,,9,,478,,,,,,4,,,,,|,m,=,Lunch
,,,3,,5,,,2,,,251,,,,8,6,,,,,|,n,=,Midnightsnack
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,,,,,47,,,,3,,,,,|,j,=,Dinnerbedroom
2,,,,,2,,,,2,,,,12,,1,12,,,,,|,k,=,Gettingup
10,2,,,,,3,,4,,,,,,17,,5,,,,,|,o,=,Nap
,1,,,,,,,2,,,6,,,,107,6,,,,,|,q,=,Sleep
78,25,,,,29,9,,17,,5,,2,5,1,8,827,4,,,,|,s,=,WorkingonPCathome
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,102,,,,|,a,=,Amespubliclibrary
,,,,,,,,,,,,,,,,1,,10,,,|,p,=,PCoffice
,,,,,,,,,,,,,,,,3,,,36,,|,t,=,gilman1353
,,,,,,,,,,1,,,,,,,,,,5,|,u,=,rs
