b,c,d,e,g,h,r,f,i,l,m,n,j,k,o,q,s,a,p,t,u,<--,classified,as,
340,2,,,3,11,,,,,,,,,2,,47,,,,,|,b,=,Bathroombowel
1,153,,63,,21,10,,10,2,1,1,,1,,2,8,,,,,|,c,=,Bathroomfaucet
,12,,7,,1,1,,,,,,,,,,3,,,,,|,d,=,Bathroomflushing
1,66,1,97,,12,12,,11,1,1,3,,,,,3,,,,,|,e,=,Bathroompee
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,14,8,,,,3,,,,,,1,,,,,|,g,=,Chop
5,4,,2,,363,15,,28,,29,9,1,1,,,49,,,,,|,h,=,Cooking
4,8,,5,2,78,67,,14,,13,1,2,,1,1,31,,,,,|,r,=,Washingdishes
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15,,,,,,,,,,,,,,|,f,=,Breakfast
,13,,,,30,10,,423,,,8,1,,,3,3,,,,,|,i,=,Dinner
,,,,,,,,,9,,,,2,,,,,,,,|,l,=,LivingRoom
,,,9,,,,,9,,476,,,,,,7,,,,,|,m,=,Lunch
,,,3,,4,,,3,,,258,,,,,7,,,,,|,n,=,Midnightsnack
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,,,,,51,,,,3,,,,,|,j,=,Dinnerbedroom
2,,,,,7,,,,,,,,10,,1,11,,,,,|,k,=,Gettingup
7,1,,,,,1,,4,2,,,,,19,,7,,,,,|,o,=,Nap
,,,,,,,,2,,,14,,,,103,3,,,,,|,q,=,Sleep
77,22,,,,29,7,,22,4,5,,2,4,1,7,830,,,,,|,s,=,WorkingonPCathome
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,103,,,,|,a,=,Amespubliclibrary
,,,,,,,,,,,,,,,,,,11,,,|,p,=,PCoffice
,,,,,,,,,,,,,,,,,,,39,,|,t,=,gilman1353
,,,,,,,,,,,,,,,,,,,,6,|,u,=,rs
