b,c,d,e,g,h,r,f,i,m,n,j,k,l,o,q,s,a,p,t,u,<--,classified,as,
261,23,0,0,3,8,0,0,0,0,0,2,0,0,9,0,99,0,0,0,0,|,b,=,Bathroombowel
0,175,0,50,0,24,2,0,3,3,3,0,0,0,2,0,11,0,0,0,0,|,c,=,Bathroomfaucet
3,17,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,|,d,=,Bathroomflushing
0,90,0,86,0,11,3,0,2,3,4,2,0,0,2,0,5,0,0,0,0,|,e,=,Bathroompee
,,,,,,,,,,,,,,,,,,,,,,,,
0,3,0,1,6,14,1,0,0,3,0,0,0,0,0,0,4,0,0,0,0,|,g,=,Chop
12,56,0,46,0,243,2,0,31,29,10,0,0,0,0,6,71,0,0,0,0,|,h,=,Cooking
9,49,0,25,4,62,7,0,5,15,1,1,1,0,0,2,46,0,0,0,0,|,r,=,Washingdishes
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,|,f,=,Breakfast
0,14,0,22,0,21,0,0,411,0,17,1,0,0,0,3,2,0,0,0,0,|,i,=,Dinner
0,9,0,0,0,9,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,|,m,=,Lunch
0,3,0,0,0,5,0,0,1,0,262,0,0,0,0,2,2,0,0,0,0,|,n,=,Midnightsnack
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,5,0,0,0,0,|,j,=,Dinnerbedroom
13,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,|,k,=,Gettingup
3,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,|,l,=,LivingRoom
7,2,0,0,0,2,1,0,4,0,0,0,0,0,11,0,14,0,0,0,0,|,o,=,Nap
0,1,0,1,0,5,0,0,0,0,26,0,0,0,0,40,49,0,0,0,0,|,q,=,Sleep
91,6,0,22,0,24,5,0,23,5,0,1,0,0,8,6,819,0,0,0,0,|,s,=,WorkingonPCathome
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,|,a,=,Amespubliclibrary
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,|,p,=,PCoffice
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,|,t,=,gilman1353
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,|,u,=,rs
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.778030994,,3414,,,,,,,,,,,,,
