seed/bathroom.mp3 already fingerprinted, continuing...
seed/bus.mp3 already fingerprinted, continuing...
seed/keyboard.mp3 already fingerprinted, continuing...
seed/music and eating.mp3 already fingerprinted, continuing...
seed/washing.mp3 already fingerprinted, continuing...
seed/cooking2.mp3 already fingerprinted, continuing...
seed/cooking.mp3 already fingerprinted, continuing...
8421
----------------------------17---------
20141005_235716 	 None 	  Cooking 
20141006_070743 	 None 	  Bus 
20141006_070812 	 bus 	  Bus
20141006_093822 	 cooking2 	  Walking outside
20141006_103303 	 keyboard 	  Eating
20141006_103345 	 keyboard 	  Lunch
20141006_103740 	 keyboard 	  Lunch         None
20141006_110010 	 bathroom 	  Lunch
20141006_110357 	 bus 	  Lunch
20141006_114026 	 cooking2 	  Lunch
20141006_143447 	 cooking 	  Dinner
20141006_144006 	 music and eating 	  Music
20141006_144320 	 bathroom 	  Music
20141006_144517 	 music and eating 	  Music
20141006_144616 	 bathroom 	  Music
20141006_144722 	 music and eating 	  Music
20141006_145042 	 bathroom 	  Music
20141006_145120 	 bathroom 	  Bus
20141006_145315 	 cooking2 	  Music
20141007_065910 	 bus 	  Walking outside
20141007_070613 	 bus 	  Walking outside
20141007_070800 	 None 	  Bus 
20141007_071256 	 cooking2 	  Bus
20141007_071344 	 cooking 	  Bus
20141007_071409 	 cooking 	  Bus
20141007_071518 	 keyboard 	  Walking outside
20141007_081649 	 cooking 	  Breakfast
20141007_081916 	 cooking2 	  Breakfast
20141007_113755 	 bathroom 	  Music
20141007_163832 	 cooking2 	  Walking outside
20141007_172048 	 music and eating 	  Music
20141007_195310 	 cooking2 	  Working on PC at home
20141007_200459 	 None 	  Bathroom 
20141007_200559 	 None 	  Bathroom 
20141007_200620 	 keyboard 	  Bathroom
20141008_071019 	 bus 	  Bus
20141008_142212 	 washing 	  Washing in bathroom
20141008_143531 	 cooking 	  Washing in bathroom
20141008_155032 	 bathroom 	  Cooking
20141008_155104 	 cooking2 	  Cooking
20141009_070927 	 bathroom 	  Bus
20141009_120952 	 None 	  Bus 
20141009_133739 	 None 	  Bus 
20141009_142139 	 washing 	  Bus
20141010_063655 	 bathroom 	  Walking outside
20141010_152358 	 keyboard 	  Bus
20141011_193435 	 bathroom 	  Music
20141012_102743 	 cooking2 	  Cooking
20141012_102822 	 bathroom 	  Cooking
20141012_103053 	 bathroom 	  Cooking
20141012_103451 	 cooking2 	  Cooking
20141012_104028 	 None 	  Breakfast 
20141012_104316 	 bathroom 	  Cooking
20141012_104353 	 bus 	  Cooking
20141012_104637 	 keyboard 	  Breakfast
20141012_104929 	 cooking 	  Breakfast
20141012_112555 	 None 	  Working on PC at home 
20141012_112717 	 None 	  Working on PC at home 
20141012_112840 	 music and eating 	  Working on PC at home
20141012_113410 	 None 	  Working on PC at home 
20141012_113957 	 None 	  Working on PC at home 
20141012_114034 	 None 	  Working on PC at home 
20141012_114452 	 keyboard 	  Working on PC at home
20141012_114745 	 None 	  Working on PC at home 
20141012_115502 	 cooking2 	  Working on PC at home
20141012_120011 	 None 	  Working on PC at home 
20141012_120708 	 bus 	  Working on PC at home
20141012_120734 	 cooking 	  Working on PC at home
20141012_120829 	 keyboard 	  Working on PC at home
20141012_135258 	 cooking 	  Cooking
20141012_135347 	 keyboard 	  Cooking
