2	1:-56	2:-53	3:-57	4:-72	5:-78	6:-84	7:-82	8:-91
3	1:-45	2:-49	3:-50	4:-57	5:-70	6:-62	7:-71	8:-85
3	1:-52	2:-53	3:-56	4:-54	5:-74	6:-80	7:-85	8:-89
2	1:-53	2:-48	3:-56	4:-64	5:-76	6:-83	7:-77	8:0
2	1:-50	2:-64	3:-55	4:-71	5:-82	6:-80	7:-80	8:0
3	1:-46	2:-46	3:-50	4:-50	5:-66	6:-80	7:-80	8:-87
2	1:-51	2:-47	3:-54	4:-61	5:-72	6:-77	7:-80	8:0
3	1:-58	2:-40	3:-52	4:-51	5:-70	6:-78	7:-81	8:-84
3	1:-44	2:-47	3:-49	4:-50	5:-65	6:-80	7:-84	8:-89
3	1:-42	2:-47	3:-47	4:-50	5:-65	6:-77	7:-77	8:-87
2	1:-53	2:-57	3:-62	4:-68	5:-86	6:-80	7:-80	8:0
2	1:-57	2:-54	3:-63	4:-69	5:-85	6:-81	7:-90	8:0
3	1:-51	2:-44	3:-68	4:-56	5:-71	6:-81	7:-85	8:-89
1	1:-50	2:-49	3:-57	4:-69	5:-76	6:-73	7:-89	8:0
3	1:-48	2:-52	3:-63	4:-62	5:-69	6:-78	7:-83	8:-89
3	1:-42	2:-45	3:-55	4:-51	5:-65	6:-80	7:-83	8:-89
1	1:-46	2:-39	3:-52	4:-64	5:-79	6:-78	7:-78	8:0
3	1:-46	2:-41	3:-67	4:-53	5:-70	6:-81	7:-86	8:-89
1	1:-41	2:-53	3:-56	4:-68	5:-81	6:-79	7:-89	8:0
3	1:-47	2:-33	3:-48	4:-62	5:-66	6:-65	7:-76	8:-85
1	1:-46	2:-39	3:-53	4:-61	5:-75	6:-77	7:-82	8:0
3	1:-53	2:-44	3:-53	4:-50	5:-66	6:-78	7:-83	8:-84
3	1:-49	2:-47	3:-49	4:-50	5:-67	6:-78	7:-80	8:-84
1	1:-52	2:-48	3:-57	4:-68	5:-76	6:-73	7:-85	8:0
3	1:-54	2:-47	3:-55	4:-55	5:-75	6:-87	7:-83	8:-89
3	1:-47	2:-50	3:-63	4:-59	5:-71	6:-77	7:-82	8:-89
3	1:-59	2:-46	3:-48	4:-50	5:-65	6:-83	7:-79	8:-89
2	1:-57	2:-53	3:-65	4:-73	5:-78	6:-86	7:-88	8:-91
1	1:-49	2:-79	3:-57	4:-69	5:-76	6:-73	7:-89	8:0
3	1:-42	2:-44	3:-56	4:-53	5:-65	6:-73	7:-76	8:-85
3	1:-52	2:-43	3:-55	4:-58	5:-75	6:-84	7:-84	8:-90
3	1:-54	2:-50	3:-53	4:-56	5:-74	6:-87	7:-83	8:-89
3	1:-47	2:-47	3:-50	4:-49	5:-64	6:-81	7:-81	8:-87
3	1:-59	2:-42	3:-53	4:-51	5:-70	6:-78	7:-79	8:-84
3	1:-49	2:-44	3:-56	4:-59	5:-69	6:-84	7:-82	8:-89
2	1:-51	2:-48	3:-54	4:-64	5:-72	6:-77	7:-80	8:0
2	1:-57	2:-56	3:-65	4:-73	5:-78	6:-86	7:-91	8:-91
3	1:-53	2:-40	3:-50	4:-49	5:-66	6:-80	7:-78	8:-87
3	1:-55	2:-45	3:-49	4:-50	5:-65	6:-79	7:-78	8:-89
3	1:-58	2:-44	3:-53	4:-52	5:-69	6:-76	7:-84	8:-84
3	1:-49	2:-45	3:-47	4:-48	5:-64	6:-80	7:-78	8:-87
3	1:-46	2:-46	3:-49	4:-50	5:-66	6:-79	7:-78	8:-89
3	1:-51	2:-46	3:-54	4:-65	5:-79	6:-84	7:-84	8:-90
1	1:-47	2:-39	3:-52	4:-64	5:-78	6:-77	7:-78	8:0
1	1:-45	2:-38	3:-52	4:-63	5:-79	6:-79	7:-84	8:0
3	1:-45	2:-32	3:-52	4:-56	5:-68	6:-68	7:-67	8:-79
3	1:-48	2:-38	3:-55	4:-55	5:-69	6:-72	7:-76	8:-81
3	1:-47	2:-47	3:-50	4:-50	5:-64	6:-81	7:-84	8:-87
2	1:-58	2:-49	3:-63	4:-69	5:-84	6:-85	7:-89	8:0
1	1:-54	2:-48	3:-56	4:-62	5:-72	6:-73	7:-88	8:0
1	1:-47	2:-41	3:-50	4:-70	5:-78	6:-80	7:-86	8:0
2	1:-52	2:-49	3:-54	4:-63	5:-72	6:-77	7:-80	8:0
3	1:-45	2:-45	3:-50	4:-50	5:-66	6:-82	7:-79	8:-89
3	1:-47	2:-53	3:-63	4:-63	5:-71	6:-77	7:-78	8:-89
2	1:-51	2:-48	3:-54	4:-65	5:-72	6:-77	7:-76	8:0
2	1:-62	2:-56	3:-62	4:-63	5:-74	6:-88	7:-82	8:-91
1	1:-44	2:-39	3:-53	4:-64	5:-79	6:-79	7:-78	8:0
2	1:-61	2:-58	3:-58	4:-73	5:-81	6:-86	7:-90	8:0
2	1:-49	2:-53	3:-54	4:-63	5:-73	6:-76	7:-79	8:0
3	1:-49	2:-41	3:-54	4:-52	5:-70	6:-80	7:-84	8:-84
2	1:-52	2:-57	3:-59	4:-66	5:-83	6:-81	7:-86	8:0
3	1:-56	2:-41	3:-50	4:-60	5:-78	6:-76	7:-81	8:-83
2	1:-58	2:-50	3:-59	4:-89	5:-79	6:-83	7:-77	8:0
3	1:-51	2:-49	3:-60	4:-56	5:-71	6:-81	7:-81	8:-89
3	1:-49	2:-47	3:-61	4:-60	5:-73	6:-84	7:-82	8:-89
2	1:-46	2:-55	3:-55	4:-68	5:-72	6:-77	7:-82	8:0
2	1:-54	2:-51	3:-55	4:-65	5:-75	6:-81	7:-79	8:0
3	1:-42	2:-45	3:-48	4:-56	5:-66	6:-76	7:-69	8:-85
3	1:-42	2:-39	3:-46	4:-52	5:-68	6:-78	7:-77	8:-84
3	1:-43	2:-45	3:-48	4:-50	5:-64	6:-80	7:-79	8:-84
3	1:-56	2:-45	3:-62	4:-56	5:-72	6:-84	7:-82	8:-89
1	1:-46	2:-40	3:-55	4:-70	5:-77	6:-77	7:-80	8:0
3	1:-53	2:-54	3:-64	4:-59	5:-74	6:-87	7:-85	8:-89
2	1:-65	2:-56	3:-66	4:-69	5:-80	6:-87	7:-82	8:-91
2	1:-59	2:-50	3:-54	4:-76	5:-79	6:-89	7:-81	8:0
3	1:-48	2:-46	3:-51	4:-50	5:-67	6:-81	7:-84	8:-89
2	1:-53	2:-52	3:-56	4:-67	5:-83	6:-81	7:-77	8:0
3	1:-47	2:-52	3:-64	4:-67	5:-74	6:-76	7:-83	8:-89
3	1:-53	2:-44	3:-56	4:-59	5:-72	6:-84	7:-81	8:-89
3	1:-54	2:-59	3:-63	4:-61	5:-83	6:-82	7:-84	8:-88
3	1:-53	2:-53	3:-64	4:-65	5:-83	6:-82	7:-83	8:-88
3	1:-53	2:-51	3:-53	4:-47	5:-61	6:-66	7:-83	8:-85
3	1:-53	2:-51	3:-65	4:-60	5:-72	6:-87	7:-82	8:-89
2	1:-50	2:-59	3:-55	4:-77	5:-87	6:-81	7:-79	8:0
3	1:-53	2:-47	3:-57	4:-72	5:-78	6:-81	7:-85	8:-83
3	1:-56	2:-38	3:-53	4:-57	5:-78	6:-81	7:-81	8:-83
3	1:-56	2:-39	3:-52	4:-50	5:-70	6:-78	7:-81	8:-84
3	1:-54	2:-45	3:-53	4:-62	5:-80	6:-88	7:-85	8:-87
2	1:-48	2:-55	3:-55	4:-67	5:-74	6:-86	7:-79	8:0
3	1:-41	2:-46	3:-53	4:-48	5:-68	6:-82	7:-84	8:-89
3	1:-38	2:-39	3:-51	4:-55	5:-63	6:-69	7:-72	8:-85
3	1:-45	2:-37	3:-48	4:-53	5:-64	6:-81	7:-80	8:-84
2	1:-54	2:-47	3:-54	4:-64	5:-73	6:-86	7:-79	8:0
3	1:-57	2:-49	3:-61	4:-54	5:-74	6:-83	7:-81	8:-89
3	1:-48	2:-47	3:-52	4:-52	5:-74	6:-82	7:-88	8:-84
1	1:-49	2:-48	3:-57	4:-70	5:-73	6:-73	7:-83	8:0
2	1:-53	2:-58	3:-59	4:-73	5:-90	6:-81	7:-80	8:0
3	1:-58	2:-58	3:-60	4:-57	5:-74	6:-80	7:-85	8:-89
1	1:-47	2:-55	3:-47	4:-66	5:-70	6:-73	7:-88	8:0
3	1:-39	2:-40	3:-48	4:-57	5:-73	6:-78	7:-84	8:-84
3	1:-55	2:-43	3:-52	4:-47	5:-65	6:-82	7:-82	8:-89
1	1:-53	2:-38	3:-54	4:-62	5:-75	6:-77	7:-78	8:0
3	1:-51	2:-49	3:-52	4:-70	5:-72	6:-81	7:-85	8:-83
3	1:-47	2:-47	3:-51	4:-49	5:-65	6:-79	7:-80	8:-87
3	1:-66	2:-41	3:-53	4:-51	5:-70	6:-78	7:-87	8:-84
1	1:-38	2:-46	3:-43	4:-71	5:-71	6:-80	7:-89	8:0
2	1:-60	2:-67	3:-66	4:-68	5:-82	6:-86	7:-91	8:-91
3	1:-42	2:-40	3:-50	4:-58	5:-70	6:-75	7:-67	8:-81
3	1:-52	2:-51	3:-62	4:-57	5:-77	6:-82	7:-84	8:-88
3	1:-46	2:-41	3:-50	4:-57	5:-68	6:-79	7:-78	8:-84
3	1:-52	2:-49	3:-63	4:-60	5:-73	6:-87	7:-81	8:-89
1	1:-45	2:-40	3:-52	4:-62	5:-78	6:-75	7:-82	8:0
3	1:-44	2:-46	3:-48	4:-50	5:-67	6:-77	7:-79	8:-87
3	1:-57	2:-41	3:-49	4:-51	5:-68	6:-77	7:-79	8:-84
1	1:-49	2:-48	3:-57	4:-70	5:-76	6:-73	7:-89	8:0
2	1:-51	2:-58	3:-58	4:-71	5:-82	6:-80	7:-80	8:0
3	1:-53	2:-44	3:-55	4:-51	5:-69	6:-78	7:-83	8:-84
3	1:-46	2:-45	3:-47	4:-50	5:-65	6:-83	7:-81	8:-84
3	1:-48	2:-43	3:-59	4:-56	5:-73	6:-84	7:-82	8:-89
3	1:-32	2:-28	3:-42	4:-52	5:-71	6:-72	7:-71	8:-78
1	1:-49	2:-48	3:-57	4:-71	5:-76	6:-72	7:-89	8:0
1	1:-45	2:-39	3:-52	4:-63	5:-75	6:-76	7:-76	8:0
3	1:-44	2:-47	3:-47	4:-46	5:-64	6:-80	7:-80	8:-87
3	1:-49	2:-76	3:-59	4:-52	5:-67	6:-72	7:-76	8:-85
3	1:-50	2:-51	3:-62	4:-79	5:-72	6:-76	7:-81	8:-89
3	1:-62	2:-39	3:-53	4:-51	5:-71	6:-77	7:-82	8:-84
1	1:-50	2:-48	3:-56	4:-70	5:-74	6:-73	7:-89	8:0
2	1:-58	2:-50	3:-58	4:-71	5:-80	6:-83	7:-82	8:-91
3	1:-46	2:-47	3:-57	4:-67	5:-71	6:-73	7:-70	8:-85
3	1:-46	2:-48	3:-54	4:-50	5:-67	6:-82	7:-77	8:-89
3	1:-46	2:-81	3:-52	4:-61	5:-68	6:-70	7:-67	8:-79
1	1:-46	2:-38	3:-53	4:-64	5:-79	6:-77	7:-77	8:0
2	1:-60	2:-52	3:-62	4:-73	5:-79	6:-83	7:-82	8:-91
2	1:-51	2:-59	3:-58	4:-69	5:-83	6:-81	7:-80	8:0
2	1:-58	2:-49	3:-56	4:-77	5:-77	6:-83	7:-77	8:0
2	1:-51	2:-55	3:-55	4:-64	5:-76	6:-86	7:-84	8:0
2	1:-49	2:-53	3:-54	4:-70	5:-74	6:-89	7:-80	8:0
3	1:-49	2:-48	3:-53	4:-71	5:-78	6:-81	7:-85	8:-83
3	1:-48	2:-53	3:-63	4:-63	5:-70	6:-78	7:-79	8:-89
3	1:-43	2:-28	3:-41	4:-48	5:-62	6:-70	7:-67	8:-79
3	1:-52	2:-48	3:-57	4:-47	5:-66	6:-80	7:-81	8:-87
3	1:-47	2:-54	3:-61	4:-67	5:-70	6:-77	7:-83	8:-89
3	1:-58	2:-46	3:-53	4:-58	5:-76	6:-84	7:-84	8:-88
2	1:-51	2:-60	3:-60	4:-68	5:-84	6:-81	7:-80	8:0
3	1:-43	2:-47	3:-49	4:-58	5:-73	6:-86	7:-84	8:-84
2	1:-54	2:-52	3:-60	4:-78	5:-75	6:-86	7:-82	8:-91
1	1:-48	2:-47	3:-57	4:-72	5:-76	6:-73	7:-88	8:0
2	1:-48	2:-53	3:-56	4:-76	5:-71	6:-77	7:-82	8:0
2	1:-51	2:-52	3:-54	4:-66	5:-72	6:-76	7:-84	8:0
3	1:-49	2:-50	3:-67	4:-58	5:-71	6:-87	7:-81	8:-89
1	1:-49	2:-48	3:-57	4:-69	5:-76	6:-72	7:-89	8:0
3	1:-55	2:-43	3:-79	4:-55	5:-69	6:-81	7:-85	8:-89
3	1:-62	2:-48	3:-63	4:-43	5:-59	6:-67	7:-70	8:-85
3	1:-34	2:-36	3:-50	4:-57	5:-65	6:-73	7:-79	8:-85
1	1:-44	2:-39	3:-53	4:-63	5:-80	6:-77	7:-78	8:0
2	1:-62	2:-58	3:-58	4:-72	5:-81	6:-89	7:-82	8:0
3	1:-47	2:-45	3:-51	4:-49	5:-66	6:-79	7:-81	8:-84
1	1:-44	2:-39	3:-56	4:-67	5:-73	6:-76	7:-77	8:0
3	1:-58	2:-44	3:-52	4:-49	5:-68	6:-80	7:-80	8:-84
3	1:-48	2:-47	3:-90	4:-48	5:-64	6:-80	7:-83	8:-87
3	1:-63	2:-38	3:-53	4:-52	5:-70	6:-77	7:-79	8:-84
3	1:-43	2:-47	3:-49	4:-48	5:-64	6:-67	7:-70	8:-85
3	1:-51	2:-82	3:-52	4:-50	5:-70	6:-78	7:-79	8:-84
3	1:-40	2:-47	3:-52	4:-64	5:-63	6:-72	7:-76	8:-81
